	raised	ROI_ATH	catg	vc	mm	cap_controlled	dao_approve	id	launch_date	platform	total_supply	fear_greed_val	month
gamium	$200,000	43x	Metaverse	 DAO Maker 	 DAO Maker 	0.0	0.0	gamium	30/03/22	binance-smart-chain	6324100709.91762	55	03
adaswap	$195,000	12x	DeFi	 Shima Capital 	 MarketMaker.io 	0.0	0.0	adaswap	05/04/22	ethereum	10000000000.0	53	04
step-app	$2,750,000	149x	Move To Earn		 Kairon Labs 	1.0	1.0	step-app-fitfi	26/04/22	avalanche	5000000000.0	27	04
dragon-sb	$195,000	9x	Gaming	 DnR Labs 		0.0	1.0	dragonsb	15/03/22	binance-smart-chain	95000000.0	21	03
defiato	$600,000	2x	DeFi	 CRC 	 MarketMaker.io 	0.0	1.0	defiato	16/12/20	ethereum	250000000.0	92	12
spellfire	$245,000	6x	Gaming	 DAO Maker 	 Kairon Labs 	0.0	0.0	spellfire	27/01/22	ethereum	640000000.0	20	01
bbs-network	$550,000	4x	Social network	 Binance 		1.0	1.0	bbs-network	17/02/22	ethereum	1000000000.0	52	02
hubble	$1,500,000	5x	DeFi	 Delphi Digital 	 Skynet Trading 	0.0	0.0	hubble	28/01/22	solana	100000000.0	24	01
fantom-maker	$95,000	4x	DeFi	 Halvings 	 DAO Maker 	0.0	1.0	fantom-maker	04/03/22	fantom	600000000.0	33	03
infinity-skies	$200,000	1x	Gaming	 Jump 	 Jump 	0.0	1.0	infinity-skies	14/01/22	polygon-pos		21	01
ftribe-fighters	$95,000	10x	Metaverse	 Raptor 		0.0	1.0	ftribe-fighters	05/01/22	binance-smart-chain	1000000000.0	24	01
mgg	$195,000	4x	Guild	 SparkPoint 	 DAO Maker 	0.0	0.0	metagaming-guild	10/02/22	ethereum	999230770.0	50	02
metagods	$95,000	36x	Gaming	 Cinchblock 		0.0	0.0	metagods	17/12/21	binance-smart-chain	500000000.0	23	12
wam	$280,000	10x	Gaming	 DAO Maker 	 MarketMaker.io 	0.0	1.0	wam	20/12/21	binance-smart-chain	1000000000.0	25	12
solice	$95,000	71x	Metaverse	 Three Arrows Capital 	 Skynet Trading 	0.0	0.0	solice	07/01/22	solana	400000000.0	18	01
